date,zone_id,disruption_events,avg_temperature,aqi,order_volume
2026-01-15,1,2,33.7,61,882
2026-01-16,1,2,31.3,60,864
2026-01-17,1,3,29.1,104,1039
2026-01-18,1,1,38.1,89,823
2026-01-19,1,3,33.3,137,907
2026-01-20,1,5,35.5,64,861
2026-01-21,1,4,34.9,89,901
2026-01-22,1,4,29.5,115,839
2026-01-23,1,4,37.7,124,857
2026-01-24,1,2,38.3,87,981
2026-01-25,1,1,34.7,81,959
2026-01-26,1,3,29.2,60,817
2026-01-27,1,4,40.2,105,1069
2026-01-28,1,3,31.6,109,815
2026-01-29,1,3,34.5,74,1048
2026-01-30,1,4,37.8,105,1007
2026-01-31,1,3,39.3,129,868
2026-02-01,1,3,29.6,118,1000
2026-02-02,1,2,34.0,76,932
2026-02-03,1,5,34.2,101,809
2026-02-04,1,3,29.8,107,839
2026-02-05,1,3,31.6,68,1042
2026-02-06,1,2,30.2,92,893
2026-02-07,1,3,33.8,86,1017
2026-02-08,1,2,32.0,132,895
2026-02-09,1,5,40.6,137,1010
2026-02-10,1,3,33.4,138,841
2026-02-11,1,4,35.5,118,808
2026-02-12,1,3,29.4,103,906
2026-02-13,1,4,35.8,114,828
2026-02-14,1,3,33.6,106,908
2026-02-15,1,1,36.5,85,848
2026-02-16,1,2,29.1,73,832
2026-02-17,1,4,38.1,118,929
2026-02-18,1,5,35.9,136,792
2026-02-19,1,3,36.4,77,932
2026-02-20,1,1,32.7,81,752
2026-02-21,1,0,32.6,59,771
2026-02-22,1,1,29.0,66,835
2026-02-23,1,2,30.0,65,966
2026-02-24,1,3,37.2,139,973
2026-02-25,1,3,36.3,130,971
2026-02-26,1,5,29.1,122,872
2026-02-27,1,4,30.1,126,1011
2026-02-28,1,3,37.3,71,1011
2026-03-01,1,1,34.5,85,908
2026-03-02,1,3,25.6,128,887
2026-03-03,1,3,33.3,85,824
2026-03-04,1,2,30.0,81,771
2026-03-05,1,5,28.6,100,734
2026-03-06,1,2,30.1,74,863
2026-03-07,1,3,32.2,85,956
2026-03-08,1,2,27.3,93,963
2026-03-09,1,3,30.1,76,908
2026-03-10,1,5,26.1,131,869
2026-03-11,1,3,31.9,137,888
2026-03-12,1,5,33.7,103,969
2026-03-13,1,5,32.8,100,894
2026-03-14,1,1,30.0,68,785
2026-03-15,1,0,28.4,72,834
2026-03-16,1,1,27.8,56,814
2026-03-17,1,5,29.7,105,778
2026-03-18,1,5,28.0,69,843
2026-03-19,1,5,23.4,104,752
2026-03-20,1,3,32.2,89,916
2026-03-21,1,1,35.0,88,887
2026-03-22,1,1,23.2,65,745
2026-03-23,1,3,25.0,102,909
2026-03-24,1,5,26.8,109,964
2026-03-25,1,4,24.3,115,933
2026-03-26,1,2,28.3,86,840
2026-03-27,1,2,30.8,124,892
2026-03-28,1,2,29.7,95,818
2026-03-29,1,2,33.9,79,825
2026-03-30,1,2,26.0,118,790
2026-03-31,1,5,24.6,111,828
2026-04-01,1,5,24.9,72,879
2026-04-02,1,5,32.8,85,881
2026-04-03,1,3,30.5,118,744
2026-04-04,1,4,27.6,64,745
2026-04-05,1,1,36.1,105,874
2026-04-06,1,3,30.2,92,739
2026-04-07,1,4,25.6,105,704
2026-04-08,1,4,34.1,108,893
2026-04-09,1,3,37.0,86,848
2026-04-10,1,4,33.3,71,731
2026-04-11,1,1,28.4,112,866
2026-04-12,1,2,33.7,134,793
2026-04-13,1,2,28.0,80,874
2026-04-14,1,5,37.5,101,807
2026-01-15,2,1,23.0,88,708
2026-01-16,2,1,22.7,78,616
2026-01-17,2,0,27.8,48,585
2026-01-18,2,0,25.8,89,699
2026-01-19,2,1,27.3,68,742
2026-01-20,2,1,31.4,76,684
2026-01-21,2,3,24.6,90,645
2026-01-22,2,1,34.4,93,608
2026-01-23,2,0,26.6,84,735
2026-01-24,2,0,33.5,90,560
2026-01-25,2,0,27.1,57,635
2026-01-26,2,1,30.2,72,602
2026-01-27,2,0,32.8,48,672
2026-01-28,2,0,35.2,72,498
2026-01-29,2,1,30.3,67,664
2026-01-30,2,0,28.4,78,645
2026-01-31,2,2,32.6,84,698
2026-02-01,2,0,33.0,68,509
2026-02-02,2,1,25.4,81,556
2026-02-03,2,2,26.8,46,694
2026-02-04,2,1,27.8,56,485
2026-02-05,2,2,28.8,73,636
2026-02-06,2,0,30.3,56,619
2026-02-07,2,1,28.0,71,645
2026-02-08,2,0,28.1,83,625
2026-02-09,2,0,32.2,88,629
2026-02-10,2,2,32.9,51,548
2026-02-11,2,1,30.6,90,675
2026-02-12,2,1,28.5,49,706
2026-02-13,2,1,35.3,88,562
2026-02-14,2,2,31.9,75,670
2026-02-15,2,1,30.6,90,526
2026-02-16,2,2,25.8,89,545
2026-02-17,2,2,31.5,82,695
2026-02-18,2,1,29.3,64,696
2026-02-19,2,2,24.9,76,599
2026-02-20,2,1,32.9,69,625
2026-02-21,2,0,24.8,69,485
2026-02-22,2,2,24.9,86,468
2026-02-23,2,2,30.3,46,470
2026-02-24,2,1,31.0,71,640
2026-02-25,2,1,33.0,48,648
2026-02-26,2,2,27.7,63,624
2026-02-27,2,0,22.9,54,611
2026-02-28,2,0,28.7,48,625
2026-03-01,2,1,26.7,54,540
2026-03-02,2,3,25.7,49,674
2026-03-03,2,1,30.3,72,595
2026-03-04,2,1,29.4,87,625
2026-03-05,2,0,28.2,54,484
2026-03-06,2,1,30.0,93,645
2026-03-07,2,1,23.5,49,618
2026-03-08,2,1,24.8,48,601
2026-03-09,2,3,24.3,77,632
2026-03-10,2,1,27.4,56,605
2026-03-11,2,1,24.6,55,608
2026-03-12,2,3,19.8,53,501
2026-03-13,2,1,21.5,58,611
2026-03-14,2,0,19.9,40,659
2026-03-15,2,1,20.6,40,524
2026-03-16,2,0,28.6,56,582
2026-03-17,2,0,21.0,64,474
2026-03-18,2,2,28.1,55,481
2026-03-19,2,0,27.6,68,616
2026-03-20,2,2,25.9,85,586
2026-03-21,2,2,19.6,63,515
2026-03-22,2,0,28.4,74,557
2026-03-23,2,3,27.9,76,515
2026-03-24,2,2,22.8,76,555
2026-03-25,2,0,20.8,57,505
2026-03-26,2,0,19.8,43,591
2026-03-27,2,0,22.9,69,472
2026-03-28,2,0,29.6,60,522
2026-03-29,2,0,26.9,69,581
2026-03-30,2,3,29.9,69,487
2026-03-31,2,2,28.8,88,445
2026-04-01,2,2,28.9,82,613
2026-04-02,2,0,24.8,55,598
2026-04-03,2,0,29.2,62,641
2026-04-04,2,1,30.8,86,608
2026-04-05,2,1,21.5,81,617
2026-04-06,2,2,25.4,89,480
2026-04-07,2,1,23.4,90,512
2026-04-08,2,2,22.5,54,609
2026-04-09,2,1,22.0,52,609
2026-04-10,2,1,24.7,44,519
2026-04-11,2,1,21.8,65,480
2026-04-12,2,1,29.1,48,635
2026-04-13,2,1,26.3,66,562
2026-04-14,2,1,30.3,76,590
2026-01-15,3,1,26.1,101,789
2026-01-16,3,2,29.7,72,662
2026-01-17,3,1,30.9,70,873
