claim_id,worker_id,baseline_hourly_income,actual_hourly_income,earnings_drop_ratio,disruption_hours,active_hours_during_disruption,orders_completed_during_disruption,avg_orders_per_hour,gps_zone_match,distance_from_zone_center,past_claim_count,claim_frequency,approval_ratio,zone_risk_score,disruption_type
1,101,134.49,17.35,0.871,3,3,1,0.3333,1,2.34,2,0.0426,1.0,0.85,weather
2,102,91.79,16.56,0.8196,3,3,0,0.0,1,1.9,2,0.0408,1.0,0.75,aqi
3,103,138.57,10.19,0.9265,5,5,1,0.2,1,2.25,1,0.04,1.0,0.48,aqi
4,104,111.54,16.88,0.8487,6,6,2,0.3333,0,26.14,6,0.75,0.0,0.49,aqi
5,105,127.11,0.0,1.0,5,3,0,0.0,1,1.2,2,1.0,0.0,0.41,weather
6,106,112.81,23.6,0.7908,3,3,2,0.6667,1,0.91,0,0.0,1.0,0.74,curfew
7,107,126.55,15.13,0.8804,3,3,1,0.3333,1,0.91,1,0.0357,1.0,0.89,curfew
8,108,131.08,35.29,0.7308,4,4,0,0.0,1,1.07,1,0.1667,1.0,0.6,weather
9,109,102.76,24.98,0.7569,5,5,3,0.6,1,0.86,0,0.0,1.0,0.77,curfew
10,110,143.87,21.98,0.8472,6,6,1,0.1667,1,2.99,2,0.1667,1.0,0.65,weather
11,111,127.65,33.76,0.7355,4,4,3,0.75,1,1.99,1,0.0357,1.0,0.7,aqi
12,112,130.82,13.44,0.8973,3,3,2,0.6667,1,2.42,0,0.0,1.0,0.55,weather
13,113,148.31,32.86,0.7784,5,5,0,0.0,1,2.68,2,0.087,1.0,0.65,weather
14,114,122.36,33.36,0.7274,4,4,0,0.0,1,2.0,0,0.0,1.0,0.46,aqi
15,115,104.37,17.23,0.8349,5,5,0,0.0,1,0.71,0,0.0,1.0,0.89,curfew
16,116,129.59,38.41,0.7036,4,4,1,0.25,1,1.16,1,0.0238,1.0,0.88,curfew
17,117,132.78,21.97,0.8345,4,4,2,0.5,1,1.6,1,0.027,1.0,0.46,weather
18,118,123.24,0.0,1.0,3,3,0,0.0,1,0.52,2,1.0,0.0,0.13,weather
19,119,120.85,18.35,0.8482,3,3,3,1.0,1,1.04,2,0.1667,1.0,0.87,curfew
20,120,137.08,34.22,0.7504,4,4,1,0.25,1,0.74,1,0.0217,1.0,0.58,aqi
21,121,130.4,39.52,0.6969,3,3,0,0.0,1,0.65,1,0.02,1.0,0.8,weather
22,122,122.18,14.21,0.8837,4,4,1,0.25,1,1.2,0,0.0,1.0,0.62,curfew
23,123,145.58,26.97,0.8147,3,3,1,0.3333,0,18.13,3,0.375,0.3333,0.46,weather
24,124,105.91,33.52,0.6835,6,6,3,0.5,1,1.21,2,0.0417,1.0,0.9,curfew
25,125,99.29,18.9,0.8096,6,6,0,0.0,1,1.95,0,0.0,1.0,0.77,weather
26,126,145.16,0.0,1.0,6,5,0,0.0,1,0.4,2,0.2222,0.0,0.13,weather
27,127,114.23,38.25,0.6651,4,4,1,0.25,1,1.95,2,0.3333,1.0,0.44,curfew
28,128,146.08,16.13,0.8896,5,5,2,0.4,1,1.1,0,0.0,1.0,0.74,aqi
29,129,90.56,28.63,0.6839,3,3,0,0.0,1,0.68,2,0.1176,1.0,0.53,aqi
30,130,112.17,14.73,0.8687,4,4,2,0.5,1,2.03,2,0.0444,1.0,0.4,curfew
31,131,146.34,14.03,0.9041,3,3,0,0.0,1,2.72,2,0.0392,1.0,0.48,aqi
32,132,102.22,29.03,0.716,5,5,2,0.4,1,1.76,0,0.0,1.0,0.45,aqi
33,133,90.21,33.13,0.6327,3,3,2,0.6667,1,0.9,2,0.0625,1.0,0.75,curfew
34,134,144.24,0.0,1.0,3,3,0,0.0,1,0.17,6,1.0,0.6667,0.16,weather
35,135,143.94,14.2,0.9013,5,5,1,0.2,0,23.34,6,1.0,0.5,0.49,weather
36,136,141.88,39.29,0.7231,4,4,1,0.25,1,2.7,0,0.0,1.0,0.77,aqi
37,137,138.13,35.92,0.74,6,6,1,0.1667,1,1.17,0,0.0,1.0,0.59,weather
38,138,101.97,37.55,0.6318,4,4,2,0.5,1,1.26,0,0.0,1.0,0.41,weather
39,139,141.86,39.01,0.725,5,5,2,0.4,1,1.38,1,0.0278,1.0,0.74,curfew
40,140,96.92,39.11,0.5965,3,3,1,0.3333,1,1.95,0,0.0,1.0,0.45,aqi
41,141,116.18,39.53,0.6598,5,5,0,0.0,1,1.46,0,0.0,1.0,0.53,curfew
42,142,111.85,12.1,0.8918,4,4,2,0.5,1,2.06,0,0.0,1.0,0.76,aqi
43,143,109.57,30.92,0.7178,6,6,1,0.1667,1,0.98,1,0.0217,1.0,0.74,weather
44,144,114.36,35.01,0.6939,5,5,2,0.4,1,1.22,2,0.0645,1.0,0.7,aqi
45,145,130.54,25.34,0.8059,6,6,1,0.1667,1,2.15,2,0.0909,1.0,0.73,curfew
46,146,130.37,16.74,0.8716,4,4,1,0.25,1,0.87,0,0.0,1.0,0.89,curfew
47,147,117.32,36.58,0.6882,3,3,1,0.3333,1,2.3,1,0.0357,1.0,0.6,weather
