worker_id,zone_id,vehicle_type,season,recent_disruption_rate,order_volatility,rainfall_mm,temp_c,aqi,risk_score,premium_inr
1000,Chennai_Urban,two_wheeler,Winter,0.354,0.299,6.16,31.0,42.0,0.291,21.62
1001,Bengaluru_Urban,two_wheeler,Summer,0.22,0.01,2.76,21.4,87.0,0.179,17.16
1002,Chennai_Urban,car,Monsoon,0.51,0.214,118.95,25.7,117.0,0.696,56.75
1003,Delhi_South,two_wheeler,Monsoon,0.125,0.165,8.98,37.1,50.0,0.206,18.26
1004,Chennai_Urban,two_wheeler,Summer,0.064,0.259,0.23,27.0,66.0,0.172,16.88
1005,Chennai_Urban,car,Summer,0.107,0.638,21.67,25.7,102.0,0.346,35.79
1006,Delhi_South,two_wheeler,Normal,0.27,0.352,0.0,28.2,183.0,0.251,20.06
1007,Delhi_North,two_wheeler,Summer,0.274,0.412,2.86,44.3,50.0,0.322,22.86
1008,Delhi_South,three_wheeler,Winter,0.449,0.253,0.0,14.5,329.0,0.3,26.39
1009,Bengaluru_Urban,two_wheeler,Winter,0.399,0.137,21.24,21.6,131.0,0.332,23.29
1010,Chennai_Urban,two_wheeler,Normal,0.368,0.235,0.58,28.2,58.0,0.26,20.39
1011,Chennai_Urban,three_wheeler,Winter,0.49,0.012,14.32,28.4,66.0,0.307,26.72
1012,Delhi_North,two_wheeler,Normal,0.52,0.056,0.0,28.1,200.0,0.267,20.69
1013,Chennai_Urban,three_wheeler,Monsoon,0.211,0.406,40.02,28.7,91.0,0.405,31.42
1014,Delhi_North,car,Winter,0.137,0.471,0.0,8.4,411.0,0.291,32.45
1015,Bengaluru_Urban,car,Monsoon,0.454,0.354,33.27,28.8,106.0,0.44,41.4
1016,Chennai_Urban,car,Summer,0.117,0.478,11.37,32.3,111.0,0.276,31.57
1017,Delhi_North,two_wheeler,Summer,0.527,0.318,1.59,37.1,50.0,0.328,23.12
1018,Chennai_Urban,three_wheeler,Winter,0.263,0.295,5.36,33.5,85.0,0.259,24.45
1019,Delhi_South,car,Winter,0.263,0.132,0.0,16.9,376.0,0.243,29.59
1020,Bengaluru_Urban,three_wheeler,Winter,0.381,0.302,24.62,29.4,141.0,0.373,29.91
1021,Bengaluru_Urban,car,Winter,0.206,0.409,1.49,23.2,106.0,0.25,29.98
1022,Chennai_Urban,car,Summer,0.058,0.458,6.06,32.0,69.0,0.233,28.98
1023,Bengaluru_Urban,two_wheeler,Normal,0.228,0.338,9.68,26.5,130.0,0.275,20.99
1024,Delhi_South,three_wheeler,Summer,0.214,0.371,0.06,42.7,50.0,0.252,24.12
1025,Delhi_North,two_wheeler,Summer,0.16,0.589,1.56,41.9,50.0,0.272,20.88
1026,Chennai_Urban,three_wheeler,Normal,0.381,0.569,0.13,25.8,117.0,0.329,27.77
